RouteID,VehicleCount,AverageSpeed,MaximumSpeed,MinimumSpeed,AverageLatitude,AverageLongitude,AverageBearing
92513,4,0.0,0.0,0.0,53.51544666290283,-2.2212617993354797,105.5
73168,4,0.0,0.0,0.0,52.50581741333008,-2.1036367416381836,0.0
115805,8,0.0,0.0,0.0,53.1830096244812,-3.572511374950409,105.0
5748,1,0.0,0.0,0.0,53.51407241821289,-0.06900499761104584,335.0
132723,2,0.0,0.0,0.0,52.55062484741211,-1.5326135158538818,99.0
7051,6,0.0,0.0,0.0,52.16016960144043,-2.2693408330281577,87.83333333333333
10780526,9,0.0,0.0,0.0,51.44658957587348,-0.299412339925766,175.0
1253929,3,0.0,0.0,0.0,52.233985900878906,0.2840769936641057,276.0
9214,11,0.0,0.0,0.0,51.6183256669478,-3.0894088094884697,166.36363636363637
92592,3,0.0,0.0,0.0,53.52832921346029,-2.1733552614847818,55.666666666666664
91951,1,0.0,0.0,0.0,51.508216857910156,-3.5783469676971436,-1.0
394873,1,0.0,0.0,0.0,50.21116256713867,-5.482359886169434,193.0
5445,6,0.0,0.0,0.0,52.2007687886556,-2.211069345474243,146.33333333333334
10984135,17,0.0,0.0,0.0,51.48598727057962,0.02926952940555673,132.35294117647058
95838,1,0.0,0.0,0.0,54.17213439941406,-1.432083010673523,273.0
11513461,3,0.0,0.0,0.0,51.3835817972819,0.2788853347301483,180.66666666666666
7386,1,0.0,0.0,0.0,51.522647857666016,-0.6551200151443481,-1.0
79174,1,0.0,0.0,0.0,53.47323989868164,-2.6678249835968018,-1.0
6890,1,0.0,0.0,0.0,51.464599609375,0.3505209982395172,311.0
18315,5,0.0,0.0,0.0,51.91153793334961,-0.3286626011133194,101.0
4398044,1,0.0,0.0,0.0,51.7902946472168,-1.2712700366973877,162.0
10657,4,0.0,0.0,0.0,51.12479496002197,0.01291875122115016,152.25
6389,5,0.0,0.0,0.0,50.71504440307617,-1.287056827545166,44.4
130627,3,0.0,0.0,0.0,52.39371871948242,-2.1727919578552246,246.33333333333334
895266,1,0.0,0.0,0.0,52.534732818603516,-1.8316659927368164,302.0
62868,1,0.0,0.0,0.0,54.08622360229492,-3.163243055343628,57.0
399740,17,0.0,0.0,0.0,53.48208775239832,-2.1339908487656536,118.70588235294117
133182,1,0.0,0.0,0.0,51.03617477416992,-4.153326988220215,66.0
69044,3,0.0,0.0,0.0,34.51103846232096,-0.8165466785430908,112.0
783358,4,0.0,0.0,0.0,50.83982849121094,-0.12735549919307232,134.75
92619,9,0.0,0.0,0.0,53.52517784966363,-2.0557446479797363,191.77777777777777
2875092,2,0.0,0.0,0.0,52.38970947265625,1.5978880524635315,-1.0
4669,5,0.0,0.0,0.0,53.31102981567383,-2.2262344360351562,74.0
116080,1,0.0,0.0,0.0,53.17389678955078,-2.9564011096954346,250.0
12543,2,0.0,0.0,0.0,52.58462715148926,-1.9922925233840942,1.5
