Operator,TotalServices,TotalTrips,AverageTrips,TotalStops,AverageStops,UniqueRoutes,UniqueServiceCodes
Regent Coaches,22,118,5.363636363636363,1529,69.5,10,10
Stowmarket Minibus & Coach Hire,2,4,2.0,66,33.0,1,1
CT Coaches,4,36,9.0,101,25.25,4,1
Shoreline Suncruisers,8,163,20.375,150,18.75,4,3
Walsall Community Transport,12,166,13.833333333333334,830,69.16666666666667,6,1
Stantons of Stoke,14,118,8.428571428571429,749,53.5,11,9
Masons Travel,16,32,2.0,1325,82.8125,8,8
Archway Travel,5,278,55.6,847,169.4,5,5
Sussex Coaches,5,49,9.8,187,37.4,4,4
Travel Express,18,605,33.611111111111114,815,45.27777777777778,8,8
National Express (UK Coach),23,904,39.30434782608695,148,6.434782608695652,15,18
St Ives Bus Co,2,68,34.0,11,5.5,2,2
Ugobus,1,54,54.0,2,2.0,1,1
Our Bus,19,91,4.7894736842105265,901,47.421052631578945,12,13
York Pullman Bus Company,34,412,12.117647058823529,1817,53.44117647058823,21,18
K B Coaches,2,2,1.0,15,7.5,2,2
Arriva UK Bus,3268,99655,30.49418604651163,327247,100.13678090575276,522,579
Newport Bus,19,183,9.631578947368421,1850,97.36842105263158,5,5
Aston Coaches,3,18,6.0,219,73.0,2,2
Community Transport,2,6,3.0,90,45.0,2,1
Kempsford UK,4,65,16.25,189,47.25,4,4
AJT,1,205,205.0,2,2.0,1,1
Fargo Coaches,1,2,2.0,30,30.0,1,1
London Vintage Bus Hire (trading as The London Bus Company),1,27,27.0,122,122.0,1,1
Boultons of Shropshire Ltd,1,10,10.0,13,13.0,1,1
B P Brown Travel Ltd,55,612,11.127272727272727,2570,46.72727272727273,35,23
Holmeswood Coaches Ltd,3,165,55.0,453,151.0,2,2
Borders Buses,11,661,60.09090909090909,825,75.0,10,11
Redwoods Travel,3,6,2.0,102,34.0,3,3
Woods Coaches Ltd,1,92,92.0,2,2.0,1,1
Bennetts Travel,3,41,13.666666666666666,23,7.666666666666667,3,3
Sweynes,1,2,2.0,18,18.0,1,1
Ellenvale Coaches,3,10,3.3333333333333335,40,13.333333333333334,2,2
Ashcroft Travel Ltd,10,106,10.6,449,44.9,10,8
Star Cabs,7,67,9.571428571428571,400,57.142857142857146,7,7
Squarepeg,13,127,9.76923076923077,2648,203.69230769230768,7,6
Beeline Coaches,4,47,11.75,417,104.25,4,4
Rajinder Banga,17,716,42.11764705882353,1218,71.6470588235294,6,5
Bennetts Coaches,15,70,4.666666666666667,197,13.133333333333333,15,15
F R Willetts,7,21,3.0,552,78.85714285714286,7,7
Cotswold Green,15,109,7.266666666666667,831,55.4,15,11
Thames Valley Buses,65,5122,78.8,5697,87.64615384615385,34,26
Coach Events Services,13,461,35.46153846153846,38,2.923076923076923,3,3
Cuckmere Buses,39,211,5.410256410256411,1993,51.1025641025641,23,25
Hatch Green Coaches,19,223,11.736842105263158,1174,61.78947368421053,18,18
Vickery’s Coaches,1,0,0.0,9,9.0,1,1
The Big Lemon CIC,5,222,44.4,453,90.6,5,5
R & J Coaches,2,4,2.0,164,82.0,2,2
Acme Bus Co,6,12,2.0,103,17.166666666666668,6,6
A Lyles & Son,9,58,6.444444444444445,475,52.77777777777778,8,8
Jacksons of Silsden,2,24,12.0,150,75.0,1,1
Mulleys Motorways Ltd,19,190,10.0,784,41.26315789473684,19,16
Telford Coaches,7,40,5.714285714285714,438,62.57142857142857,5,5
Celtic Travel,3,37,12.333333333333334,274,91.33333333333333,3,3
Travel Masters,27,105,3.888888888888889,2154,79.77777777777777,24,27
Richmonds Coaches,24,96,4.0,904,37.666666666666664,12,10
Cavern City Tours,1,14,14.0,10,10.0,1,1
Lakeside Coaches Ltd,9,163,18.11111111111111,326,36.22222222222222,9,9
MD Bus & Coach,24,151,6.291666666666667,794,33.083333333333336,15,13
Carolean Coaches,13,339,26.076923076923077,880,67.6923076923077,6,5
ASD Coaches,14,160,11.428571428571429,624,44.57142857142857,10,9
Bakers Dolphin,8,16,2.0,418,52.25,8,5
Country Bus,31,621,20.032258064516128,1566,50.516129032258064,30,30
Ability CIC,3,12,4.0,31,10.333333333333334,3,3
Crosskeys Coaches,6,12,2.0,122,20.333333333333332,6,5
Fowlers Travel,3,8,2.6666666666666665,162,54.0,3,3
OTS,14,313,22.357142857142858,699,49.92857142857143,14,7
Nu-Venture,44,576,13.090909090909092,2720,61.81818181818182,44,44
SWTL,5,10,2.0,388,77.6,5,5
Chepstow Classic Buses,1,2,2.0,16,16.0,1,1
Yeomans Travel,96,515,5.364583333333333,3978,41.4375,43,27
Ferryhill Village Travel,1,3,3.0,80,80.0,1,1
Andrews Coaches,6,71,11.833333333333334,653,108.83333333333333,6,4
Ron W Dew & Son Ltd,39,274,7.0256410256410255,2127,54.53846153846154,23,19
NIBSbuses,34,337,9.911764705882353,2254,66.29411764705883,34,24
First & Last Mile,7,16,2.2857142857142856,287,41.0,7,7
Peter Hodgson,4,18,4.5,268,67.0,2,2
Coventry Minibuses,11,33,3.0,615,55.90909090909091,8,6
M R D,3,16,5.333333333333333,41,13.666666666666666,3,3
Dartline Coaches,50,953,19.06,2559,51.18,49,47
Gateshead Central Taxis,64,1605,25.078125,2908,45.4375,38,33
Tally Ho Coaches,9,129,14.333333333333334,378,42.0,8,9
SUNBEAM COACHES,9,24,2.6666666666666665,429,47.666666666666664,8,8
Lords Travel,8,8,1.0,156,19.5,3,3
Ashbourne Little Bus Co,13,62,4.769230769230769,810,62.30769230769231,5,5
Rooster Bus Ltd,2,4,2.0,53,26.5,2,2
Duck Tours,2,8,4.0,2,1.0,2,2
Coastal Red Limited,66,736,11.151515151515152,5451,82.5909090909091,25,17
Yorkshire Buses,16,218,13.625,2079,129.9375,8,7
Greenslades,3,107,35.666666666666664,174,58.0,3,3
AC Williams,1,2,2.0,49,49.0,1,1
Taylors Travel,15,31,2.066666666666667,561,37.4,15,14
Transport for Greater Manchester,1453,42900,29.525120440467997,125426,86.32209222298692,566,568
HOWARDS TRAVEL AND OMEGA BUSWAYS LIMITED,5,68,13.6,156,31.2,5,3
Notts and Derby,43,1456,33.86046511627907,2914,67.76744186046511,27,27
L & G Coaches,2,4,2.0,42,21.0,2,2
Moving People,2,48,24.0,138,69.0,2,2
Harrogate Coach Travel Ltd,32,622,19.4375,2530,79.0625,18,18
Clarkes of London,1,88,88.0,9,9.0,1,1
Sweyne Coaches,1,45,45.0,27,27.0,1,1
Marshalls of Sutton on Trent,16,75,4.6875,1060,66.25,13,7
Mikro coaches,1,10,10.0,87,87.0,1,1
A & J Coaches,1,2,2.0,28,28.0,1,1
Stephensons of Essex Ltd,96,1124,11.708333333333334,5804,60.458333333333336,96,67
Lucketts of Watford,2,72,36.0,10,5.0,1,1
West Berkshire Council,6,20,3.3333333333333335,513,85.5,4,3
Bayliss Executive Travel,2,4,2.0,98,49.0,1,1
Al's Coaches,105,160,1.5238095238095237,3882,36.97142857142857,63,62
Drm (Bromyard) Limited,7,142,20.285714285714285,454,64.85714285714286,7,7
Cresta Coaches,7,21,3.0,289,41.285714285714285,7,7
Sanders Coaches,130,2814,21.646153846153847,7203,55.40769230769231,64,58
JW Lodge & Sons,1,6,6.0,55,55.0,1,1
Fareline Bus & Coach Services,4,7,1.75,125,31.25,4,4
Olympia Travel UK ltd,3,6,2.0,290,96.66666666666667,3,2
AMK,2,19,9.5,103,51.5,2,2
Uno,53,1876,35.39622641509434,6057,114.28301886792453,24,22
Blackpool Transport Services Ltd,33,5086,154.12121212121212,4122,124.9090909090909,18,18
Iain McGregor,1,205,205.0,2,2.0,1,1
Minsterley Motors Ltd,13,143,11.0,955,73.46153846153847,8,6
Albatross Coaches,1,6,6.0,71,71.0,1,1
BM Coaches,2,65,32.5,12,6.0,2,2
Nottinghamshire County Council Fleet Services,14,180,12.857142857142858,809,57.785714285714285,14,14
Stanley Travel,3,208,69.33333333333333,149,49.666666666666664,2,2
Viking Coaches (Heywood),3,4,1.3333333333333333,123,41.0,2,3
Maghull Coaches,11,55,5.0,295,26.818181818181817,7,7
LMS Travel Ltd,18,122,6.777777777777778,871,48.388888888888886,12,8
Coastliner Buses,8,250,31.25,665,83.125,7,7
Weardale Motor Services,31,791,25.516129032258064,1995,64.35483870967742,14,14
Faresaver Buses,50,1053,21.06,2816,56.32,50,33
Kevs Cars & Coaches,16,230,14.375,1613,100.8125,8,6
Yarranton Brothers,10,47,4.7,853,85.3,4,3
Kinchbus,13,1733,133.30769230769232,813,62.53846153846154,8,8
CommMiniBus,7,33,4.714285714285714,289,41.285714285714285,7,7
Troopers Lodge,1,23,23.0,34,34.0,1,1
Nottingham Minibuses & Coaches Ltd,23,64,2.782608695652174,745,32.391304347826086,19,19
CTSW,1,31,31.0,66,66.0,1,1
David Goodfellow Travel,16,281,17.5625,550,34.375,7,5
Metroline Travel Limited,15,2434,162.26666666666668,1299,86.6,10,10
Northstar,31,443,14.290322580645162,1599,51.58064516129032,30,31
Cumfybus,15,101,6.733333333333333,466,31.066666666666666,11,10
Xelabus,5,14,2.8,223,44.6,5,5
21 Transport,5,49,9.8,331,66.2,5,5
Safeguard Coaches,12,562,46.833333333333336,320,26.666666666666668,3,2
Transport Connect,42,946,22.523809523809526,1847,43.976190476190474,36,42
Harpur's Coaches Ltd,7,14,2.0,60,8.571428571428571,7,7
Lawson's of Corby,5,10,2.0,263,52.6,5,5
A Minibus Plus,2,10,5.0,76,38.0,1,1
Cruisers,1,12,12.0,118,118.0,1,1
Golden Tours,2,33,16.5,14,7.0,2,2
Zero2 Bus Museum,3,12,4.0,183,61.0,1,1
Sleafordian,23,133,5.782608695652174,1114,48.43478260869565,22,22
UMC,2,89,44.5,12,6.0,1,1
FirstGroup plc,1395,215290,154.32974910394265,115976,83.13691756272401,397,645
Hunts Coaches,5,99,19.8,372,74.4,4,4
City Transport Group,6,386,64.33333333333333,152,25.333333333333332,3,3
Langston & Tasker,4,16,4.0,95,23.75,4,4
Belle Coaches,3,6,2.0,119,39.666666666666664,3,3
Edward Thomas,2,19,9.5,60,30.0,2,2
Reays Coaches,3,30,10.0,111,37.0,3,3
Roberts Travel Group,3,300,100.0,29,9.666666666666666,3,3
Finestyle Coaches,2,4,2.0,61,30.5,2,2
Linden Holdings,21,71,3.380952380952381,768,36.57142857142857,20,21
Hornsby Travel Service Ltd,13,451,34.69230769230769,779,59.92307692307692,12,13
